,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
605,ECLI:NL:RBLIM:2019:4835,mdma,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Luik', 'België', 'Visé', 'Tongeren', 'Balen', 'Turnhout'], 'United States': ['Wvmc', 'Riel'], 'Germany': ['Bocholt', 'Duitsland'], 'Canada': ['Peel']}",2019-05-22
606,ECLI:NL:RBLIM:2019:4835,amfetamine,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Luik', 'België', 'Visé', 'Tongeren', 'Balen', 'Turnhout'], 'United States': ['Wvmc', 'Riel'], 'Germany': ['Bocholt', 'Duitsland'], 'Canada': ['Peel']}",2019-05-22
607,ECLI:NL:RBLIM:2019:4835,metamfetamine,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Luik', 'België', 'Visé', 'Tongeren', 'Balen', 'Turnhout'], 'United States': ['Wvmc', 'Riel'], 'Germany': ['Bocholt', 'Duitsland'], 'Canada': ['Peel']}",2019-05-22
608,ECLI:NL:RBMNE:2013:CA0209,hasj,['Morocco'],N/A,N/A,softdrugs,undefined,"{'Morocco': ['Marokko'], 'Brazil': ['Para']}",2013-05-16
609,ECLI:NL:RBSGR:2010:BN5886,cocaïne,"['Netherlands', 'Trinidad and Tobago', 'United Kingdom']",2.020,gram,harddrugs,gr,"{'Suriname': ['Suriname'], 'Trinidad and Tobago': ['Trinidad', 'Tobago'], 'United Kingdom': ['Engeland', 'Londen', 'Verenigd Koninkrijk', 'Wales'], 'Germany': ['Frankfurt']}",2010-02-09
610,ECLI:NL:RBSGR:2010:BN5886,drugs,['Trinidad and Tobago'],N/A,N/A,unspecified,undefined,"{'Suriname': ['Suriname'], 'Trinidad and Tobago': ['Trinidad', 'Tobago'], 'United Kingdom': ['Engeland', 'Londen', 'Verenigd Koninkrijk', 'Wales'], 'Germany': ['Frankfurt']}",2010-02-09
611,ECLI:NL:RBHAA:2004:AO4855,drugs,[],N/A,N/A,unspecified,undefined,"{'Greece': ['Griekenland'], 'Colombia': ['Colombia']}",2004-02-19
612,ECLI:NL:GHSGR:2003:AI0975,heroïne,['Belgium'],N/A,N/A,harddrugs,undefined,{'Belgium': ['België']},2003-04-23
613,ECLI:NL:RBNHO:2018:9383,mdma,"['Singapore', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Singapore': ['Singapore'], 'Germany': ['Duitsland']}",2018-03-10
614,ECLI:NL:RBOBR:2017:2720,mdma,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Groot-Brittannië'], 'United Arab Emirates': ['Dubai'], 'Norway': ['Bergen'], 'Belgium': ['België', 'Familleureux'], 'Spain': ['Spanje']}",2017-05-22
615,ECLI:NL:RBOBR:2017:2720,amfetamine,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Groot-Brittannië'], 'United Arab Emirates': ['Dubai'], 'Norway': ['Bergen'], 'Belgium': ['België', 'Familleureux'], 'Spain': ['Spanje']}",2017-05-22
616,ECLI:NL:RBOBR:2017:2720,cocaïne,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Groot-Brittannië'], 'United Arab Emirates': ['Dubai'], 'Norway': ['Bergen'], 'Belgium': ['België', 'Familleureux'], 'Spain': ['Spanje']}",2017-05-22
617,ECLI:NL:RBOBR:2017:2720,drugs,['United Kingdom'],N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Groot-Brittannië'], 'United Arab Emirates': ['Dubai'], 'Norway': ['Bergen'], 'Belgium': ['België', 'Familleureux'], 'Spain': ['Spanje']}",2017-05-22
618,ECLI:NL:RBOBR:2017:2720,harddrugs,['United Kingdom'],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Groot-Brittannië'], 'United Arab Emirates': ['Dubai'], 'Norway': ['Bergen'], 'Belgium': ['België', 'Familleureux'], 'Spain': ['Spanje']}",2017-05-22
